132 640 19982010
40.5 0.15 11 85 0.073 -0.22 0.5667 0
41 0.1 0 36 0.59 0 0.65 0
41.0 0.15 11 73 0.073 0.22 0.5667 0
41.5 0.05 2 42 0.055 -0.2 0.65 0
41.5 0.31 6 45 0.31 0 0.39 0
41.5 0.85 10 81 0.1222 0 0.35 0.4
41.5 0.15 11 76 0.073 -0.22 0.5667 0
42 0.1 0 36 0.59 0 0.65 0
42.0 0.15 11 69 0.073 0.22 0.5667 0
42.5 0.05 2 42 0.055 -0.2 0.65 0
42.5 0.31 6 45 0.37 0 0.39 0
42.5 1.2 10 78 0.1222 0 0.35 0.4
42.5 0.15 11 76 0.073 -0.22 0.5667 0
43 0.1 0 36 0.59 0 0.65 0
43.0 0.15 11 73 0.073 0.22 0.5667 0
43.5 0.05 2 42 0.055 -0.2 0.65 0
43.5 0.31 6 45 0.31 0 0.39 0
43.5 0.15 11 81 0.073 -0.22 0.5667 0
44 0.1 0 36 0.59 0 0.65 0
44 0.65 10 74 0.13 0 0.35 0.4
44.0 0.15 11 76 0.073 0.22 0.6033 0
44.5 0.05 2 42 0.055 -0.2 0.65 0
44.5 0.31 6 45 0.37 0 0.39 0
44.5 0.15 11 85 0.073 -0.22 0.6033 0
44.75 0.65 10 78 0.1222 0 0.35 0.4
45 0.1 0 36 0.59 0 0.65 0
45.0 0.15 11 73 0.073 0.22 0.6033 0
45.5 0.05 2 42 0.055 -0.2 0.65 0
45.5 0.31 6 45 0.31 0 0.39 0
45.5 1.3 10 83 0.1222 0 0.35 0.4
45.5 0.15 11 76 0.073 -0.22 0.6033 0
46 0.1 0 36 0.59 0 0.65 0
46.0 0.15 11 69 0.073 0.22 0.6033 0
46.5 0.05 2 42 0.055 -0.2 0.65 0
46.5 0.31 6 45 0.37 0 0.39 0
46.5 0.15 11 76 0.073 -0.22 0.6033 0
47 0.1 0 36 0.59 0 0.65 0
47 0.8 10 81 0.1222 0 0.35 0.4
47.0 0.15 11 73 0.073 0.22 0.6033 0
47.5 0.05 2 42 0.055 -0.2 0.65 0
47.5 0.31 6 45 0.31 0 0.39 0
47.5 0.15 11 81 0.073 -0.22 0.6033 0
48 0.1 0 36 0.59 0 0.65 0
48 7.7 9 59 0.042 -0.55 0.4 0
48 7.7 9 62 0.042 -0.18 0.4 0
48 7.7 9 66 0.042 0.18 0.4 0
48 7.7 9 71 0.042 0.55 0.4 0
48 1.85 10 78 0.13 0 0.35 0.4
48.0 0.15 11 78 0.073 0.22 0.64 0
48.5 0.05 2 42 0.055 -0.2 0.65 0
48.5 0.31 6 47 0.37 0 0.39 0
48.5 0.15 11 86 0.073 -0.22 0.64 0
49 0.1 0 36 0.59 0 0.65 0
49 0.1 1 39 0.27 0 0.65 0
49.0 0.15 11 74 0.073 0.22 0.64 0
49.5 0.05 2 42 0.055 -0.2 0.65 0
49.5 0.31 6 47 0.31 0 0.39 0
49.5 0.15 11 78 0.073 -0.22 0.64 0
50 0.1 0 36 0.59 0 0.65 0
50 0.85 10 81 0.1222 0 0.35 0.4
50.0 0.15 11 71 0.073 0.22 0.64 0
50.5 0.05 2 42 0.055 -0.2 0.65 0
50.5 0.31 6 47 0.37 0 0.39 0
50.5 0.15 11 78 0.073 -0.22 0.64 0
51 0.1 0 36 0.59 0 0.65 0
51 0.1 1 39 0.27 0 0.65 0
51 0.85 10 78 0.1222 0 0.35 0.4
51.0 0.15 11 74 0.073 0.22 0.64 0
51.5 0.05 2 42 0.055 -0.2 0.65 0
51.5 0.31 6 47 0.31 0 0.39 0
